isBusy	3	isBusy	IsGrowthOriented	usesGreensAcrossMenu	isExpensive		20	19	30	15	0		0
IsGrowthOriented	0	hasExclusiveSupplier	isCheap	isCasual	needsRareProduce		26	4	10	20	0		0
usesGreensAcrossMenu	0	isAnalogOperated	isParticipative	prefersOrganic	OperatesWithAVision		15	15	17	21	0		0
isExpensive		prefersLocal	prefersCommodified	isFamilyOwned	isHierarchical		24	17	5	28	0		0
hasExclusiveSupplier		isPassionate	foodIsCentral	prefersTheBlackBoxApproach	isFranchise		15	13	30	9	0		0
isCheap		hasRotatingMenu	prefersValueAdded	HydroponicsOkay	usesHerbsAcrossMenu		10	27	26	25	0		0
isCasual		hasConsistentMenu	HydroponicsAreInUse	isCostFirst	changesSuppliersReadily		25	9	12	18	0		0
needsRareProduce		hasCloseSupplierRelationship	IsRistAverse	isFreshlyOpened	ordersWayInAdvance		34	18	3	32	0		0
isAnalogOperated		isUnderStaffed	ConductsFarmVisits	requiresSameDayDelivery	IsCulinarySchoolEducated		5	13	20	8	0		0
isParticipative		ordersAtNight	prefersDisintermediation	isDigitallyEducated	isOld		22	18	19	16	0		0
prefersOrganic		isYoung	RequiresToCheckSample	IsEfficiencyOriented	OpenToTasteProfileExperimentation	EmbracesRisk	8	26	12	12	13		0
OperatesWithAVision													
prefersLocal													
prefersCommodified													
isFamilyOwned													
isHierarchical													
isPassionate													
foodIsCentral													
prefersTheBlackBoxApproach													
isFranchise													
hasRotatingMenu													
prefersValueAdded													
HydroponicsOkay													
usesHerbsAcrossMenu													
hasConsistentMenu													
HydroponicsAreInUse													
isCostFirst													
changesSuppliersReadily													
hasCloseSupplierRelationship													
IsRistAverse													
isFreshlyOpened													
ordersWayInAdvance													
isUnderStaffed													
ConductsFarmVisits													
requiresSameDayDelivery													
IsCulinarySchoolEducated													
ordersAtNight													
prefersDisintermediation													
isDigitallyEducated													
isOld													
isYoung													
RequiresToCheckSample													
IsEfficiencyOriented													
OpenToTasteProfileExperimentation													
EmbracesRisk													
